Model,RMSE,MAE,MAPE_percent,R2
Linear Regression,1485999,914092,9.66,0.96
Ridge Regression,1485999,914099,9.66,0.96
BiLSTM,1649940,1144327,11.44,0.95
GRU,1691131,1255518,18.29,0.95
LSTM,1726572,1294281,18.53,0.94
Linear Regression + XGBoost + LightGBM,2025353,1463550,18.31,0.92
Linear Regression + XGBoost,2077050,1512829,19.01,0.92
Decision Tree,2303996,1287613,11.05,0.90
Random Forest,2448672,1350099,11.08,0.89
LightGBM,3040627,2234146,28.26,0.83
XGBoost,3347495,2519127,32.14,0.79
CatBoost,4098987,2734637,21.69,0.68
